Id,SalePrice
1461,123761.30056133324
1462,151912.84885943463
1463,183903.50599437617
1464,188727.1453998242
1465,184059.56641951113
1466,175176.3097126366
1467,176432.87087401465
1468,165914.11712671787
1469,189896.69559836667
1470,121075.09406382158
1471,198653.6792931913
1472,93249.89446943472
1473,94819.4878047834
1474,153477.87209477104
1475,132112.52097886166
1476,387860.5862202648
1477,261937.84477350992
1478,287792.90040318016
1479,292779.38529466465
1480,468877.75299492537
1481,336510.19860103936
1482,205756.93675970664
1483,168033.66544937567
1484,164075.8491890857
1485,177602.14940016274
1486,188162.42292676115
1487,377910.20944842085
1488,239627.4005239751
1489,213877.85442090654
1490,222147.01088490733
1491,188846.41202575553
1492,86737.48490981192
1493,178227.54631135988
1494,299556.8402959645
1495,290880.7552195768
1496,245904.20643705782
1497,182464.9277356501
1498,154758.5156579211
1499,159482.6465658476
1500,148524.44231656854
1501,179270.13745026002
1502,144657.07782003967
1503,289806.2513092286
1504,232856.445112624
1505,232019.56625731871
1506,177209.2458681278
1507,244575.82809883927
1508,198586.35131725512
1509,166955.10708220556
1510,144237.99819213778
1511,141518.6600990613
1512,161902.67724017182
1513,149736.28124320388
1514,169670.91442431684
1515,178456.24684365146
1516,160739.91191117963
1517,157537.04533163618
1518,130134.5461986112
1519,223331.48306509506
1520,134883.28724382434
1521,136513.96112412235
1522,169069.73057494903
1523,113378.91128580866
1524,121995.09929963606
1525,127614.2464854055
1526,125313.79446261903
1527,100568.0085748841
1528,126845.24342086792
1529,152183.66885463477
1530,183026.24520705716
1531,98901.22533868058
1532,102904.10316887817
1533,134301.83252356658
1534,117792.74978499528
1535,160218.13345491223
1536,113549.11309131635
1537,72533.28006016056
1538,172477.9433421157
1539,188974.60414536184
1540,86633.86179061091
1541,141749.07630776035
1542,138008.4450438728
1543,217062.73463128787
1544,78763.15033763375
1545,111918.012623506
1546,134142.33549512495
1547,129668.91820228698
1548,135156.070760738
1549,110937.35560400078
1550,144520.1176779257
1551,109286.51923111232
1552,128027.8245363892
1553,153118.3544153183
1554,113829.72241242671
1555,170591.88467839325
1556,77502.13889673937
1557,106834.42387941651
1558,87119.59722191043
1559,67329.15338768264
1560,146686.5985782297
1561,119090.03324704885
1562,123951.84771047541
1563,119032.5333102528
1564,156194.43995174693
1565,149073.35334671827
1566,228772.61791636923
1567,75031.20132365872
1568,230622.4156517885
1569,147239.03342514328
1570,128822.33636068144
1571,128110.70232572289
1572,152206.85386568456
1573,257120.6336003431
1574,113187.26596204663
1575,224506.3901227158
1576,221812.46404087762
1577,196531.69039043513
1578,153243.76099445648
1579,143607.25410636386
1580,185192.92785227395
1581,149273.07746921378
1582,129531.36921674204
1583,328512.167659574
1584,234158.02979125894
1585,138976.8404930606
1586,69312.67645569271
1587,102229.2262483891
1588,153325.30209608094
1589,93457.15128203684
1590,136754.1585033278
1591,94959.98250506002
1592,113205.23161943098
1593,130073.96358578526
1594,121195.37579692576
1595,112085.5833183959
1596,258782.50287396827
1597,183161.15164115015
1598,205493.8194842114
1599,179664.34266986256
1600,179076.88689398655
1601,64789.4323551356
1602,103775.17568186898
1603,62547.9130048029
1604,260448.14535197872
1605,242903.73404525805
1606,168017.174459288
1607,163917.49954199963
1608,208503.61480865383
1609,196097.54902583515
1610,151103.62757257008
1611,140190.06994129618
1612,160993.35741952326
1613,156440.20193709747
1614,120575.73693919215
1615,82514.04672834987
1616,72152.08218717459
1617,87502.23126928962
1618,119964.87829714392
1619,134935.49294210543
1620,135190.35399628378
1621,138067.15543183082
1622,139928.25345802482
1623,282403.1921601352
1624,211645.3546429425
1625,122720.38228913951
1626,165917.4493531404
1627,189835.72007008907
1628,278871.02257583564
1629,181532.6727715589
1630,367404.12694598874
1631,208801.519442472
1632,242422.74684895904
1633,170482.18853271054
1634,185344.16550742835
1635,185326.4751438665
1636,159429.71493562136
1637,183213.30889809903
1638,197505.0168767409
1639,185527.1011185168
1640,264281.4068972349
1641,178568.1570927985
1642,230985.56570794148
1643,219407.59887164205
1644,223188.90038465528
1645,178808.08116490787
1646,156766.51693520008
1647,164899.51741914943
1648,132947.45183951897
1649,136684.92046378693
1650,114132.34971131613
1651,118834.29678821545
1652,94285.54075598273
1653,97044.29550171416
1654,155503.2508002058
1655,147464.78209224576
1656,151138.50527859534
1657,158708.09329510867
1658,149121.1863427796
1659,135495.71259530768
1660,145928.22672175083
1661,429012.8506909417
1662,402765.6085606285
